"filename", "language", "Lua", "JSON", "JSON with Comments", "HTML", "PowerShell", "C++", "TypeScript", "JavaScript", "CSS", "Makefile", "Markdown", "LaTeX", "XML", "YAML", "comment", "blank", "total"
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\scripts\Widget.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 470, 0, 0, 0, 0, 0, 0, 0, 28, 18, 516
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\scripts\luaparse.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1901, 0, 0, 0, 0, 0, 0, 442, 406, 2749
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\styles\Glimmer.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\styles\PopUpImage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\styles\Setting.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\styles\Tab.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\styles\export.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\styles\import.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\tsconfig.json", "JSON with Comments", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Silver\develop\CSOL-Utilities\source\ConfigPanel\weapon_templates\【幽浮】控制核心.lua", "Lua", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 20
